,geography,category,data_type,unit,currency_conversion,current_constant,year_nk,value
158,Paraguay,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,25717.9
159,Peru,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,143884.2
160,Uruguay,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,40596.0
161,Venezuela,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,6745.4
162,Algeria,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,74296.0
163,Angola,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,77180.4
164,Bahrain,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,19602.2
165,Cameroon,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,24564.5
166,Côte d'Ivoire,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,37657.2
167,Egypt,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,174337.2
168,Ethiopia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,54109.4
169,Ghana,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,45165.8
170,Iran,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,354529.1
171,Iraq,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,116040.1
172,Israel,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,230001.8
173,Jordan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,35241.0
174,Kenya,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,63319.5
175,Kuwait,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,62922.3
176,Lebanon,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,49440.4
177,Morocco,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,71273.4
178,Nigeria,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,313386.1
179,Oman,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,34321.8
180,Qatar,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,46343.4
181,Saudi Arabia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,284743.6
182,South Africa,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,207898.9
183,Tanzania,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,36001.9
184,Tunisia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,30416.0
185,Uganda,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,22727.0
186,United Arab Emirates,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,169694.7
187,Canada,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,916491.3
188,USA,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,14862073.2
189,Austria,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,239279.4
190,Belgium,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,284971.5
191,Denmark,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,156243.6
192,Finland,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,139865.1
193,France,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,1564397.7
194,Germany,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,2208701.1
195,Greece,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,129313.9
196,Ireland,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,114405.8
197,Italy,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,1263466.7
198,Netherlands,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,407307.4
199,Norway,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,171207.6
200,Portugal,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,148273.1
201,Spain,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,798195.2
202,Sweden,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,262272.7
203,Switzerland,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,400348.5
204,Turkey,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,587599.0
205,United Kingdom,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2017,1705428.3
206,Azerbaijan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,24811.5
207,Bangladesh,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,204936.0
208,Cambodia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,18075.3
209,China,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,8281858.8
210,"Hong Kong, China",Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,301575.1
211,India,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,2177124.2
212,Indonesia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,619405.3
213,Japan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,2947101.3
214,Kazakhstan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,80570.2
215,Laos,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,12665.9
216,Malaysia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,185767.4
217,Myanmar,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,42606.7
218,Pakistan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,244501.0
219,Philippines,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,252161.3
220,Singapore,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,178875.8
221,South Korea,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,897245.3
222,Sri Lanka,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,62206.1
223,Taiwan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,379073.8
224,Thailand,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,266158.2
225,Turkmenistan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,4375.9
226,Uzbekistan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,31600.3
227,Vietnam,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,171309.2
228,Australia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,898553.6
229,New Zealand,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,115686.5
230,Belarus,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,34222.1
231,Bosnia and Herzegovina,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,15084.7
232,Bulgaria,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,39607.0
233,Croatia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,37796.5
234,Czech Republic,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,130773.3
235,Estonia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,16419.3
236,Georgia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,11129.6
237,Hungary,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,89139.6
238,Latvia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,20740.2
239,Lithuania,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,32568.2
240,North Macedonia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,8624.5
241,Poland,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,344951.1
242,Romania,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,152807.4
243,Russia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,914192.7
244,Serbia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,32904.2
245,Slovakia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,64575.0
246,Slovenia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,31830.6
247,Ukraine,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,93191.0
248,Argentina,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,363464.4
249,Bolivia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,23802.0
250,Brazil,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,1346197.4
251,Chile,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,194277.0
252,Colombia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,246012.5
253,Costa Rica,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,41657.5
254,Dominican Republic,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,67446.1
255,Ecuador,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,73300.4
256,El Salvador,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,29588.0
257,Guatemala,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,66230.9
258,Honduras,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,19467.7
259,Mexico,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,896640.9
260,Panama,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,36406.2
261,Paraguay,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2018,27142.5
